id,lat,lon
0,71.27310873352727,-156.46281609646053
1,71.27288303220864,-156.49641457808502
2,71.33424075337149,-156.6233963565472
3,71.31581206414326,-156.68805507443534
4,71.17394146207077,-156.89605262835167
5,71.23968512595151,-156.7727361234442
6,71.22911587472353,-156.633521376833
7,71.19860545556597,-156.66431312431357
8,71.18744666435565,-156.6132059414523
9,71.22905158408925,-156.58985611178093
10,71.19042751134207,-156.5009171137589
11,71.09323140703724,-156.51382186778153
12,71.14439367139244,-156.65691104732807
13,71.14918640703821,-156.69190443830627
14,71.12377736008395,-156.67863761475454
15,71.05691623008707,-156.59737806989915
16,71.03410072392329,-156.67746222901826
17,71.18916175913844,-156.859755346305
18,71.02905972935669,-156.91786751027297
19,71.01203078344425,-156.968358239086
20,71.03867892737257,-156.8105811363122
21,71.00973256327343,-156.76126556377258
22,70.92552774254668,-156.72471606330834
23,70.93082215997671,-156.96071660793643
24,70.92548968981617,-157.00167256472818
25,70.92209161932536,-157.07417269741723
26,70.9550150516731,-157.12753562900173
27,70.97157225894145,-157.05910202514997
28,70.95373030593491,-157.0037187363899
30,70.96580489008728,-157.19416940101968
31,70.9311586477511,-157.19226381677797
32,71.02840520236548,-157.18788190297843
33,70.87313474460441,-157.50064397093183
35,70.82695629384973,-157.53220939717065
36,70.82252625357512,-157.59790600857207
37,70.81075618117877,-157.64001254331117
38,70.79267121611322,-157.49066217769118
39,70.82708975897403,-157.41720202792624
40,70.8984804897617,-157.33309210589215
41,70.93500025177215,-157.40278969492095
42,70.9514655762685,-157.40998662273907
43,70.92409364495616,-157.3466062488534
44,70.90063751614116,-157.2227901618299
45,70.85225793383461,-157.22922772557843
46,70.83791266738119,-157.2494469619036
47,70.84407550340008,-157.18405539853433
48,70.83717860322506,-157.1542684198715
49,70.84257081746752,-157.10861318089786
50,70.90991149820533,-157.0979821146091
51,70.87411314996865,-156.81391635795097
52,70.7903936834671,-156.83547191897193
53,70.80984410414814,-156.90419342412497
54,70.84402422373101,-157.03538078418433
55,70.77548313361991,-156.88451423617198
56,70.76115361673772,-156.97752817162603
57,70.75101177106406,-157.01978442904442
58,70.70876958380885,-157.02752310999796
59,70.70121959834091,-157.11035930866578
60,70.82565059375622,-157.35198832001257
61,70.78128888998486,-157.3986842986194
62,70.71621328157659,-157.18288114714582
63,70.69321877457558,-157.18496477804274
64,70.61640953636808,-157.16908611806352
65,70.63153989632094,-157.21186731241815
66,70.66776523324715,-157.29595299977993
67,70.59853196042243,-157.28869543187398
68,70.60400783142168,-157.20925114602466
69,70.58733855404212,-157.2381504984626
70,70.55218979901638,-157.23722437758346
71,70.57967660869176,-157.39018099625392
72,70.60057546934253,-157.52223092232623
73,70.58910488306648,-157.56316393668604
74,70.63542346118795,-157.43835876338633
75,70.65020950327674,-157.5158980116399
76,70.64324839540076,-157.73363483870426
77,70.61066116158727,-157.82982543564606
78,70.64419525545985,-157.8328842056994
79,70.72507836428036,-157.65985381630517
80,70.73525459534623,-157.5924920794475
81,70.73671697537685,-157.799575459046
82,70.74712957591392,-157.91766400138997
83,70.77269998359206,-157.90263313769975
84,70.77990325615718,-158.00966355107983
85,70.73574998147711,-157.98312655434685
86,70.73666929813517,-158.01762655150145
87,70.7387885766475,-158.06765717136497
88,70.71077498498913,-158.09767700252723
89,70.71251301543484,-157.9499197070512
90,70.7112317075217,-157.88816858693812
91,70.66069076115534,-157.98393538726185
92,70.66002001521997,-158.22828928228213
93,70.75133593159151,-158.12612662813572
94,70.72680894516292,-158.17744148867033
95,70.75027985511346,-158.29691083751018
96,70.77836274672542,-158.27041674107497
97,70.71540551191056,-158.32893793021003
98,70.70389186781495,-158.4116796273693
